holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour,Vehicles,DateTime,Junction
,288.28,0.0,0.0,40,Clouds,1,5545,2016-01-01 00:00:00,1
,289.36,0.0,0.0,75,Clouds,0,4516,2016-01-01 01:00:00,1
,289.58,0.0,0.0,90,Clouds,0,4767,2016-01-01 02:00:00,1
,290.13,0.0,0.0,90,Clouds,0,5026,2016-01-01 03:00:00,1
,291.14,0.0,0.0,75,Clouds,0,4918,2016-01-01 04:00:00,1
,291.72,0.0,0.0,1,Clear,0,5181,2016-01-01 05:00:00,1
,293.17,0.0,0.0,1,Clear,0,5584,2016-01-01 06:00:00,1
,293.86,0.0,0.0,1,Clear,0,6015,2016-01-01 07:00:00,1
,294.14,0.0,0.0,20,Clouds,1,5791,2016-01-01 08:00:00,1
,293.1,0.0,0.0,20,Clouds,1,4770,2016-01-01 09:00:00,1
,290.97,0.0,0.0,20,Clouds,1,3539,2016-01-01 10:00:00,1
,289.38,0.0,0.0,1,Clear,0,2784,2016-01-01 11:00:00,1
,288.61,0.0,0.0,1,Clear,0,2361,2016-01-01 12:00:00,1
,287.16,0.0,0.0,1,Clear,0,1529,2016-01-01 13:00:00,1
,285.45,0.0,0.0,1,Clear,0,963,2016-01-01 14:00:00,1
,284.63,0.0,0.0,1,Clear,0,506,2016-01-01 15:00:00,1
,283.47,0.0,0.0,1,Clear,0,321,2016-01-01 16:00:00,1
,281.18,0.0,0.0,1,Clear,0,273,2016-01-01 17:00:00,1
,281.09,0.0,0.0,1,Clear,0,367,2016-01-01 18:00:00,1
,279.53,0.0,0.0,1,Clear,0,814,2016-01-01 19:00:00,1
,278.62,0.0,0.0,1,Clear,0,2718,2016-01-01 20:00:00,1
,278.23,0.0,0.0,1,Clear,0,5673,2016-01-01 21:00:00,1
,278.12,0.0,0.0,1,Clear,1,6511,2016-01-01 22:00:00,1
,282.48,0.0,0.0,1,Clear,1,5471,2016-01-01 23:00:00,1
,291.97,0.0,0.0,1,Clear,0,5097,2016-01-02 00:00:00,1
,293.23,0.0,0.0,1,Clear,0,4887,2016-01-02 01:00:00,1
,294.31,0.0,0.0,1,Clear,0,5337,2016-01-02 02:00:00,1
,295.17,0.0,0.0,1,Clear,0,5692,2016-01-02 03:00:00,1
,295.13,0.0,0.0,1,Clear,0,6137,2016-01-02 04:00:00,1
,293.66,0.0,0.0,20,Clouds,1,4623,2016-01-02 05:00:00,1
,290.65,0.0,0.0,20,Clouds,1,3591,2016-01-02 06:00:00,1
,288.19,0.0,0.0,20,Clouds,0,2898,2016-01-02 07:00:00,1
,287.1,0.0,0.0,1,Clear,0,2637,2016-01-02 08:00:00,1
,286.25,0.0,0.0,1,Clear,0,1777,2016-01-02 09:00:00,1
,285.26,0.0,0.0,1,Clear,0,1015,2016-01-02 10:00:00,1
,284.55,0.0,0.0,1,Clear,0,598,2016-01-02 11:00:00,1
,283.47,0.0,0.0,1,Clear,0,369,2016-01-02 12:00:00,1
,283.17,0.0,0.0,1,Clear,0,312,2016-01-02 13:00:00,1
,282.04,0.0,0.0,1,Clear,0,367,2016-01-02 14:00:00,1
,281.69,0.0,0.0,1,Clear,0,835,2016-01-02 15:00:00,1
,281.32,0.0,0.0,1,Clear,0,2726,2016-01-02 16:00:00,1
,280.74,0.0,0.0,1,Clear,0,5689,2016-01-02 17:00:00,1
,280.57,0.0,0.0,1,Clear,1,6990,2016-01-02 18:00:00,1
,281.86,0.0,0.0,1,Clear,1,5985,2016-01-02 19:00:00,1
,284.98,0.0,0.0,1,Clear,1,5309,2016-01-02 20:00:00,1
,289.18,0.0,0.0,1,Clear,0,4603,2016-01-02 21:00:00,1
,291.55,0.0,0.0,1,Clear,0,4884,2016-01-02 22:00:00,1
,294.97,0.0,0.0,1,Clear,0,5104,2016-01-02 23:00:00,1
,296.38,0.0,0.0,1,Clear,0,5178,2016-01-03 00:00:00,1
,297.32,0.0,0.0,1,Clear,0,5501,2016-01-03 01:00:00,1
,298.17,0.0,0.0,1,Clear,0,5713,2016-01-03 02:00:00,1
,298.06,0.0,0.0,20,Clouds,0,6292,2016-01-03 03:00:00,1
,297.67,0.0,0.0,20,Clouds,1,6057,2016-01-03 04:00:00,1
,296.36,0.0,0.0,40,Clouds,1,4907,2016-01-03 05:00:00,1
,293.85,0.0,0.0,40,Clouds,1,3503,2016-01-03 06:00:00,1
,292.43,0.0,0.0,40,Clouds,0,3037,2016-01-03 07:00:00,1
,291.77,0.0,0.0,75,Clouds,0,2822,2016-01-03 08:00:00,1
,291.36,0.0,0.0,75,Clouds,0,1992,2016-01-03 09:00:00,1
,291.12,0.0,0.0,75,Clouds,0,1166,2016-01-03 10:00:00,1
,290.63,0.0,0.0,75,Clouds,0,627,2016-01-03 11:00:00,1
,290.46,0.0,0.0,40,Clouds,0,388,2016-01-03 12:00:00,1
,289.26,0.0,0.0,0,Clear,0,368,2016-01-03 13:00:00,1
,283.21,0.0,0.0,75,Clouds,0,2489,2016-01-03 14:00:00,1
,282.24,0.0,0.0,90,Clouds,0,5537,2016-01-03 15:00:00,1
,281.69,0.0,0.0,90,Clouds,1,6628,2016-01-03 16:00:00,1
,280.57,0.0,0.0,90,Clouds,1,5534,2016-01-03 17:00:00,1
,280.02,0.0,0.0,75,Clouds,1,5403,2016-01-03 18:00:00,1
,280.11,0.0,0.0,75,Clouds,0,4770,2016-01-03 19:00:00,1
,280.0,0.0,0.0,90,Clouds,0,5217,2016-01-03 20:00:00,1
,280.53,0.0,0.0,90,Clouds,0,5870,2016-01-03 21:00:00,1
,281.43,0.0,0.0,75,Clouds,0,5967,2016-01-03 22:00:00,1
,281.78,0.0,0.0,90,Clouds,0,6108,2016-01-03 23:00:00,1
,281.91,0.0,0.0,90,Clouds,0,6128,2016-01-04 00:00:00,1
,281.73,0.0,0.0,90,Clouds,0,6069,2016-01-04 01:00:00,1
,281.42,0.0,0.0,90,Clouds,1,6169,2016-01-04 02:00:00,1
,280.87,0.0,0.0,90,Clouds,1,5384,2016-01-04 03:00:00,1
,280.15,0.0,0.0,90,Clouds,1,4063,2016-01-04 04:00:00,1
,279.78,0.0,0.0,90,Clouds,0,3364,2016-01-04 05:00:00,1
,279.65,0.0,0.0,75,Clouds,0,2971,2016-01-04 06:00:00,1
,279.22,0.0,0.0,40,Clouds,0,2450,2016-01-04 07:00:00,1
,279.06,0.0,0.0,40,Clouds,0,1832,2016-01-04 08:00:00,1
,278.81,0.0,0.0,90,Clouds,0,1231,2016-01-04 09:00:00,1
,278.55,0.0,0.0,90,Clouds,0,718,2016-01-04 10:00:00,1
,278.59,0.0,0.0,90,Clouds,0,545,2016-01-04 11:00:00,1
,276.99,0.0,0.0,75,Clouds,0,411,2016-01-04 12:00:00,1
,276.35,0.0,0.0,20,Clouds,0,688,2016-01-04 13:00:00,1
,275.4,0.0,0.0,1,Clear,0,1352,2016-01-04 14:00:00,1
,275.17,0.0,0.0,1,Clear,1,2072,2016-01-04 15:00:00,1
,274.99,0.0,0.0,1,Clear,1,3342,2016-01-04 16:00:00,1
,275.09,0.0,0.0,40,Clouds,1,4258,2016-01-04 17:00:00,1
,276.88,0.0,0.0,20,Clouds,0,4861,2016-01-04 18:00:00,1
,278.04,0.0,0.0,20,Clouds,0,5191,2016-01-04 19:00:00,1
,279.08,0.0,0.0,40,Clouds,0,5669,2016-01-04 20:00:00,1
,280.12,0.0,0.0,75,Clouds,0,5074,2016-01-04 21:00:00,1
,280.25,0.0,0.0,75,Clouds,0,5025,2016-01-04 22:00:00,1
,280.0,0.0,0.0,75,Clouds,0,5153,2016-01-04 23:00:00,1
,279.06,0.0,0.0,90,Clouds,0,5024,2016-01-05 00:00:00,1
,278.91,0.0,0.0,90,Clouds,1,4779,2016-01-05 01:00:00,1
,278.39,0.0,0.0,90,Clouds,1,4362,2016-01-05 02:00:00,1
,278.16,0.0,0.0,90,Clouds,1,3860,2016-01-05 03:00:00,1
,278.16,0.0,0.0,90,Clouds,0,3160,2016-01-05 04:00:00,1
,277.93,0.0,0.0,90,Clouds,0,2992,2016-01-05 05:00:00,1
,276.9,0.0,0.0,90,Clouds,0,3202,2016-01-05 06:00:00,1
,276.34,0.0,0.0,75,Clouds,0,1941,2016-01-05 07:00:00,1
,276.11,0.0,0.0,75,Clouds,0,1233,2016-01-05 08:00:00,1
,275.73,0.0,0.0,90,Clouds,0,323,2016-01-05 09:00:00,1
,275.65,0.0,0.0,90,Clouds,0,312,2016-01-05 10:00:00,1
,275.51,0.0,0.0,75,Clouds,0,627,2016-01-05 11:00:00,1
,275.05,0.0,0.0,90,Clouds,0,1508,2016-01-05 12:00:00,1
,274.77,0.0,0.0,90,Clouds,1,1539,2016-01-05 13:00:00,1
,274.77,0.0,0.0,75,Clouds,1,2232,2016-01-05 14:00:00,1
,275.55,0.0,0.0,75,Clouds,1,4568,2016-01-05 15:00:00,1
,276.24,0.0,0.0,75,Clouds,0,4624,2016-01-05 16:00:00,1
,277.01,0.0,0.0,90,Clouds,0,4529,2016-01-05 17:00:00,1
,277.43,0.0,0.0,90,Clouds,0,5139,2016-01-05 18:00:00,1
,278.45,0.0,0.0,90,Clouds,0,6640,2016-01-05 19:00:00,1
,279.27,0.0,0.0,90,Clouds,0,6589,2016-01-05 20:00:00,1
,279.27,0.0,0.0,90,Clouds,0,4429,2016-01-05 21:00:00,1
,279.44,0.0,0.0,90,Clouds,0,4329,2016-01-05 22:00:00,1
,279.32,0.0,0.0,90,Clouds,1,3833,2016-01-05 23:00:00,1
,279.27,0.0,0.0,90,Clouds,1,4015,2016-01-06 00:00:00,1
,278.11,0.0,0.0,90,Clouds,1,3382,2016-01-06 01:00:00,1
,276.79,0.0,0.0,75,Clouds,0,2815,2016-01-06 02:00:00,1
